Name,Age,Height,Gender,Category,Country,Continent,Hand,Medals,HRank,Multiple,Career
Ryan Chew,24,NA,M,MD,USA,Pan Am,NA,NA,35,1,87
Sabrina Jaquet,33,169,F,WS,Switzerland,Europe,Right,0,30,1,361
Saena Kawakami,23,160,F,WS,Japan,Asia,Right,0,15,0,109
Sai Praneeth Bhamidipati,28,176,M,MS,India,Asia,Right,1,10,0,226
Saina Nehwal,31,165,F,WS,India,Asia,Right,5,1,0,447
Sam Magee,31,183,M,XD,Ireland,Europe,Right,1,21,1,310
Sameer Verma,26,170,M,MS,India,Asia,Right,0,11,0,181
Sapsiree Taerattanachai,29,169,F,XD,Thailand,Asia,Right,5,2,1,453
Sara Thygesen,30,172,F,WD,Denmark,Europe,Right,10,14,1,290
Satwiksairaj Rankireddy,20,184,M,MD,India,Asia,Right,1,7,1,210
Savitree Amitrapai,32,163,F,XD,Thailand,Asia,Right,4,10,1,317
Sayaka Hirota,26,170,F,WD,Japan,Asia,Right,5,1,0,261
Sayaka Takahashi,28,168,F,WS,Japan,Asia,Left,2,10,0,235
Sean Vendy,25,181,M,MD,England,Europe,Right,0,18,1,197
Selena Piek,29,166,F,WD,Netherlands,Europe,Right,2,7,1,496
Seo Seung-jae,23,182,M,XD,Korea,Asia,Left,3,5,1,309
Setyana Mapasa,25,163,F,WD,Australia,Oceania,Left,9,18,1,217
Shesar Hiren Rhustavito,27,170,M,MS,Indonesia,Asia,Right,2,17,0,147
Shevon Jemie Lai,27,169,F,XD,Malaysia,Asia,Left,2,6,1,187
Shi YuQi,25,184,M,MS,China,Asia,Right,8,2,0,208
Shin Baek-cheol,31,186,M,MD,Korea,Asia,Right,8,3,1,444
Shin Seung-chan,26,173,F,WD,Korea,Asia,Right,7,2,1,437
Sim Yu-jin,22,NA,F,WS,Korea,Asia,NA,0,54,0,96
Siti Fadia Silva Ramadhanti,20,NA,F,WD,Indonesia,Asia,Right,1,28,1,160
Sitthikom Thammasin,26,185,M,MS,Thailand,Asia,Right,0,21,0,161
Soh Wooi Yik,23,183,M,MD,Malaysia,Asia,Right,1,8,0,130
Soniia Cheah,27,175,F,WS,Malaysia,Asia,Right,2,23,0,144
Sony Dwi Kuncoro,36,174,M,MS,Indonesia,Asia,Right,9,3,0,350
Stefani Stoeva,25,173,F,WD,Bulgaria,Europe,Right,5,8,1,511
Su Ching Heng,28,168,M,MD,Taiwan,Asia,Right,0,10,1,126
Sung Ji-hyun,29,175,F,WS,Korea,Asia,Right,7,2,0,384
Supanida Katethong,23,163,F,WS,Thailand,Asia,Left,0,45,1,140
Tai Tzu Ying,26,162,F,WS,Taiwan,Asia,Right,5,1,0,409
Taichi Saito,28,NA,M,MD,Japan,Asia,Right,0,28,0,78
Takeshi Kamura,31,169,M,MD,Japan,Asia,Right,2,2,1,325
Takuro Hoki,25,166,M,MD,Japan,Asia,Right,1,8,1,146
Takuto Inoue,26,162,M,MD,Japan,Asia,Right,1,7,1,180
Tan Kian Meng,27,185,M,XD,Malaysia,Asia,Right,0,9,1,177
Tan Qiang,22,175,M,MD,China,Asia,Right,5,10,1,95
Tan Wee Kiong,31,176,M,MD,Malaysia,Asia,Right,4,1,0,378
Tang Chun Man,26,178,M,XD,Hong Kong China,Asia,Left,0,2,1,222
Teo Ee Yi,28,174,M,MD,Malaysia,Asia,Right,2,14,0,203
Thinaah Muralitharan,23,164,F,WD,Malaysia,Asia,Right,0,19,1,127
Thom Gicquel,22,186,M,XD,France,Europe,Right,3,10,1,257
Toby Penty,28,191,M,MS,England,Europe,Left,0,43,0,201
Toma Junior Popov,22,196,M,MS,France,Europe,Right,3,33,1,331
Tommy Sugiarto,33,175,M,MS,Indonesia,Asia,Right,3,3,0,354
Tontowi Ahmad,33,183,M,XD,Indonesia,Asia,Right,6,1,0,408
Tse Ying Suet,29,166,F,XD,Hong Kong China,Asia,Left,0,2,1,370
Viktor Axelsen,27,194,M,MS,Denmark,Europe,Right,15,1,0,389
Vincent Wong Wing Ki,31,180,M,MS,Hong Kong China,Asia,Right,0,10,0,226
Vivian Hoo,31,165,F,WD,Malaysia,Asia,Right,5,9,0,241
Vladimir Ivanov,33,197,M,MD,Russia,Europe,Right,1,7,1,506
Vu Thi Trang,290,165,F,WS,Vietnam,Asia,Right,0,34,1,215
Wahyu Nayaka Arya Pangkaryanira,28,176,M,MD,Indonesia,Asia,Right,1,16,0,131
Wakana Nagahara,15,168,F,WD,Japan,Asia,Right,3,1,1,216
Wang Chang,20,NA,M,MD,China,Asia,Right,6,49,0,106
Wang Chi Lin,26,188,M,MD,Taiwan,Asia,Right,2,3,1,400
Wang Tzu Wei,26,178,M,MS,Taiwan,Asia,Right,2,9,0,258
Wang YiLyu,26,185,M,XD,China,Asia,Right,6,1,1,315
Wang ZhiYi,21,171,F,WS,China,Asia,NA,4,16,0,116
Xia Yu Ting,21,172,F,WD,China,Asia,Right,4,16,1,99
Yang Po Han,27,172,M,MD,Taiwan,Asia,Left,0,10,1,168
Yang Po Hsuan,24,186,M,MD,Taiwan,Asia,Right,1,56,1,115
Yap Cheng Wen,26,154,F,WD,Malaysia,Asia,Left,0,17,0,138
Yeo Jia Min,22,163,F,WS,Singapore,Asia,Right,0,26,0,160
Yeremia Erich Yoche Yacob Rambitan,21,NA,M,MD,Indonesia,Asia,Right,0,44,0,76
Yip Pui Yin,33,164,F,WS,Hong Kong China,Asia,Right,1,8,0,230
Yugo Kobayashi,25,175,M,MD,Japan,Asia,Left,1,8,1,150
Yuki Fukushima,27,164,F,WD,Japan,Asia,Right,5,1,0,284
Yuki Kaneko,26,179,M,XD,Japan,Asia,Left,1,7,1,195
Yukiko Takahata,23,159,F,WD,Japan,Asia,Right,0,9,0,103
Yuta Watanabe,23,167,M,MD,Japan,Asia,Left,2,4,1,298
Yvonne Li,22,171,F,WS,Germany,Europe,Right,0,23,1,251
Zhang BeiWen,30,169,F,WS,USA,Pan Am,Right,0,9,0,296
Zhang Nan,31,184,M,XD,China,Asia,Right,22,1,1,647
Zhang Yi Man,24,168,F,WS,China,Asia,Right,0,32,0,660
Zheng SiWei,24,175,M,XD,China,Asia,Right,16,1,1,391
Zheng Yu,25,175,F,WD,China,Asia,Right,2,9,0,70
Zhou HaoDong,23,180,M,MD,China,Asia,Right,8,5,1,133
